Produto,Preço (R$),Estoque,Fornecedor
Mouse,297.58,18,Carvalho S.A.
Monitor,1863.36,48,Fernandes
Mouse,5445.93,35,Nogueira Ltda.
Mouse,4764.89,3,Moura
Notebook,840.19,15,Silveira Costela - ME
Notebook,4533.84,46,Pastor
SSD,1841.48,38,Sousa
Impressora,6494.5,1,Barbosa
Teclado,5615.3,22,Macedo
Impressora,1328.29,49,Silveira
HD Externo,907.46,25,Silveira Cunha S/A
Mouse,2935.94,23,Ribeiro
Impressora,6476.31,47,Peixoto
Placa de Vídeo,4336.2,25,Rocha
Mouse,4461.12,41,Ramos
HD Externo,4661.08,46,Oliveira S/A
Mouse,462.01,15,Carvalho Ltda.
Impressora,7883.25,15,Jesus - EI
Mouse,3103.0,30,Aparecida S/A
HD Externo,1384.97,23,Almeida
Monitor,5394.38,45,da Paz
Mouse,4912.13,11,Garcia
Monitor,1390.88,25,Rios
Impressora,7917.23,41,Novais S/A
Monitor,5508.45,50,da Mota
Notebook,1909.48,3,Vargas
HD Externo,3269.2,5,Freitas Ltda.
Monitor,7313.78,37,Campos
HD Externo,1779.75,32,Rocha Montenegro - EI
SSD,7089.0,42,Fogaça Nunes - ME
Placa de Vídeo,1228.69,9,Caldeira S/A
Monitor,5985.41,35,Farias S/A
Impressora,6001.41,28,Pastor Aragão e Filhos
SSD,2959.77,9,Rios
Placa de Vídeo,818.18,4,da Mata - EI
Mouse,1307.45,11,Nunes
SSD,4811.63,25,Jesus Cunha - EI
SSD,4807.52,30,da Mata
Impressora,7771.52,1,da Costa Campos e Filhos
Mouse,5485.51,35,Mendonça
Impressora,6171.93,22,Pinto - EI
Mouse,2418.65,11,Farias
Placa de Vídeo,125.64,47,Campos - EI
Impressora,7777.92,49,Freitas Monteiro Ltda.
Teclado,4110.69,7,Cirino
Impressora,6749.19,33,Ramos
Monitor,1307.43,49,Rezende e Filhos
Teclado,4361.09,50,Cassiano
Notebook,4831.66,32,Pinto e Filhos
Notebook,983.76,24,Nogueira
Impressora,1991.67,16,Albuquerque Nascimento - ME
Mouse,776.66,32,Santos da Mata - ME
Mouse,7826.08,35,Campos
Teclado,1114.29,31,Pimenta Pinto Ltda.
Teclado,2193.95,39,Cunha
SSD,7718.47,35,Viana
Monitor,5732.3,26,Duarte Ltda.
HD Externo,3560.99,34,Castro
Placa de Vídeo,1055.93,15,Ribeiro Moraes - EI
Mouse,2770.88,38,Gomes Nunes - ME
Monitor,4748.68,1,da Cruz
Mouse,5691.94,4,Rocha
Monitor,632.46,3,Andrade S.A.
HD Externo,659.77,16,da Cunha
Impressora,5384.92,14,Vargas Ltda.
Teclado,5814.49,37,Nascimento Ferreira S/A
Placa de Vídeo,2019.68,31,Albuquerque
SSD,1604.24,7,Mendes
SSD,2898.95,27,Borges
Placa de Vídeo,6924.31,4,Ribeiro
Mouse,578.84,47,Siqueira
HD Externo,6424.68,7,Marques S/A
Monitor,1613.56,35,Sousa S/A
Placa de Vídeo,1207.44,12,Jesus
Impressora,3754.76,5,Vargas
Placa de Vídeo,6483.38,36,Marques
Mouse,499.65,35,Aragão Marques S.A.
Notebook,7755.07,49,Moreira
Monitor,1413.86,32,Fogaça da Rocha S/A
Placa de Vídeo,1788.6,26,Costa
Notebook,1400.63,1,da Mata
SSD,2195.1,30,Nogueira
Impressora,3441.76,47,Rezende
Placa de Vídeo,1322.89,19,Pastor S/A
Monitor,7752.8,38,Viana - ME
Notebook,6009.01,4,Camargo Campos e Filhos
Notebook,4715.0,33,Cardoso
Teclado,549.35,33,Garcia
Mouse,6825.61,5,Rodrigues
Mouse,5434.18,16,Caldeira Viana S/A
SSD,1047.1,37,Pires e Filhos
Monitor,4673.46,3,Vargas
Mouse,3411.88,38,Rodrigues Fernandes - ME
HD Externo,7484.18,14,Novais
HD Externo,1985.62,26,Lima S.A.
Teclado,5406.35,20,Cavalcante Ferreira S/A
Placa de Vídeo,2597.8,49,Sales
Mouse,173.59,40,Teixeira
Mouse,678.76,14,da Cunha e Filhos
Impressora,1146.41,23,da Paz
Mouse,7046.23,24,Ferreira Barbosa - EI
Impressora,1346.2,35,Vargas
Impressora,4932.25,42,Pimenta Garcia S.A.
Notebook,5376.12,36,da Cruz Fogaça e Filhos
Impressora,7460.87,7,Santos Farias S/A
Teclado,2189.28,7,Monteiro
Teclado,2251.55,39,Machado - ME
Monitor,5769.14,14,Correia
Impressora,4092.73,17,Ribeiro S/A
Notebook,829.16,28,Araújo - EI
Impressora,448.29,22,Costela
Teclado,5133.2,17,Vasconcelos - EI
Teclado,5955.72,36,Lima S/A
SSD,4531.16,8,Macedo
Mouse,7565.9,45,Ribeiro Melo Ltda.
Teclado,4410.16,24,Camargo - ME
Teclado,3495.32,3,Aragão da Rocha Ltda.
Impressora,2980.75,3,Andrade
HD Externo,1759.6,16,Ferreira Pimenta - ME
Mouse,2894.06,36,Pastor Ltda.
SSD,7793.31,48,da Cruz
Teclado,7413.53,16,Nascimento Aragão e Filhos
Teclado,7812.03,12,das Neves
SSD,295.81,48,Cunha da Mota Ltda.
HD Externo,6280.85,27,Cavalcante Cunha e Filhos
Monitor,2207.77,45,Lopes
Mouse,3122.08,3,Freitas S/A
Placa de Vídeo,1857.23,30,Camargo
HD Externo,2511.01,15,Pinto
Monitor,286.95,13,Macedo Porto Ltda.
SSD,2693.27,5,Barros Teixeira Ltda.
Impressora,2874.05,33,Porto Dias e Filhos
SSD,5468.19,35,Cassiano Ltda.
HD Externo,7519.97,8,Nascimento Ltda.
Impressora,1510.69,17,Sampaio
Notebook,956.38,28,Cirino Abreu e Filhos
HD Externo,5855.51,21,Moura Ltda.
SSD,4889.05,33,da Mota S/A
Mouse,3143.04,37,Ramos Rezende Ltda.
Monitor,2112.31,46,Rodrigues
SSD,113.36,35,Castro
Monitor,2977.35,5,Ribeiro Pacheco S/A
HD Externo,5022.93,43,Ramos - EI
Mouse,5786.06,20,Melo
Impressora,5368.45,21,da Cunha
SSD,5607.95,36,Leão
Teclado,1615.54,43,Leão
SSD,5450.81,12,Lima Lima S/A
Impressora,3307.99,1,Viana S/A
Impressora,2366.62,28,Viana
HD Externo,3773.41,29,Novaes
Monitor,4138.27,48,Azevedo
Teclado,5304.92,19,da Luz - ME
HD Externo,837.76,49,Cavalcanti
Monitor,5415.09,15,Nascimento
Monitor,1264.1,3,Andrade Ferreira S.A.
Monitor,7873.09,40,Mendes
Mouse,3697.79,41,Monteiro Ltda.
Monitor,5774.93,25,Caldeira S.A.
Placa de Vídeo,3257.26,10,Monteiro
Notebook,7152.01,50,Camargo
Mouse,6249.52,15,Sales Vargas - ME
Teclado,6452.47,45,Teixeira
